"product_id","sku","product_name","source_product_title","slug","category","plan_tier","subscription_duration","duration_months","access_type","delivery_method","credits_or_usage_limit","key_features","short_description","full_description","price_pkr","compare_at_price_pkr","discount_percent","image_url","image_alt_text","source_product_url","source_rating_count","data_verification_status","requires_supplier_confirmation"
"gemini-pro","ATP-GEMINI-PRO","Gemini Pro — 18 Months","Gemini Advanced","gemini-pro","AI Assistants","Pro plan","18 months","18","Private access","WhatsApp activation","Google AI access","Google AI; writing; productivity; research","Google AI assistant access with an 18-month plan.","Gemini Pro is listed with PKR pricing, private access and WhatsApp order support in Pakistan for buyers seeking an 18-month plan. Confirm current availability and delivery details on WhatsApp before ordering.","800","1500","47","/assets/product-icons/gemini-pro.png","Gemini Pro — 18 Months brand icon","https://gemini.google.com","0","Confirm before ordering","yes"
"chatgpt-plus","ATP-CHATGPT-PLUS","ChatGPT Plus","ChatGPT Plus","chatgpt-plus","AI Assistants","Plus plan","1 month","1","Private access","WhatsApp activation","Advanced AI assistant","Writing; research; coding help; brainstorming","All-round AI assistant for writing, study, coding and business work.","ChatGPT Plus is useful for students, freelancers and teams that need one flexible assistant for daily writing, research, coding support and planning.","2200","3000","20","/assets/product-icons/chatgpt-plus.png","ChatGPT Plus brand icon","https://chatgpt.com","0","Verified","no"
"veo-3-extension","ATP-VEO3-EXT","Veo 3 Extension — 30 Days","Veo 3 Extension","veo-3-extension","AI Video","Extension plan","30 days","1","Private access","WhatsApp activation","Unlimited video generation","AI video; 30 days; unlimited video generation","Veo 3 Extension with a 30-day plan and listed unlimited video generation.","Veo 3 Extension is listed with PKR pricing and WhatsApp order support in Pakistan. Confirm availability, delivery method and current usage terms before ordering.","2100","","","/assets/product-icons/gemini-pro.png","Gemini Pro logo","https://deepmind.google/technologies/veo/","0","Confirm before ordering","yes"
"elevenlabs-creator-private","ATP-ELEVENLABS-CREATOR","ElevenLabs Creator — 130K Credits","ElevenLabs Creator","elevenlabs-creator-private","AI Voice","Creator plan","1 month","1","Private access","WhatsApp activation","130K credits","AI voice; 130K credits; 1 month","ElevenLabs Creator plan with 130K credits and PKR pricing.","ElevenLabs Creator is listed as a 130K-credit plan for AI voice workflows. Confirm the current credit allocation, availability and delivery details before ordering.","3300","","","/assets/product-icons/elevenlabs-creator-private.png","ElevenLabs Creator — 130K Credits brand icon","https://elevenlabs.io","0","Confirm before ordering","yes"
"lovable-ai-pro-private","ATP-LOVABLE-AI-PRO","Lovable Pro — 1 Month","Lovable Pro","lovable-ai-pro-private","Development and Coding","Pro plan","1 month","1","Private access","WhatsApp activation","1 month access","App building; coding; 1 month","Lovable Pro monthly plan with PKR pricing.","Lovable Pro is listed for app-building workflows with PKR pricing and WhatsApp order support. Confirm access, availability and delivery details before ordering.","1600","","","/assets/product-icons/lovable-ai-pro-private.jpg","Lovable Pro — 1 Month brand icon","https://lovable.dev","0","Confirm before ordering","yes"
"claude-ai","ATP-CLAUDE-AI","Claude Pro","Claude Pro","claude-ai","Development and Coding","AI assistant plan","1 month","1","Private access","WhatsApp activation","Writing and coding assistant","Long writing; research; code review; summaries","Careful AI assistant for long writing, research and coding support.","Claude AI is suitable for students, writers and developers who need structured output, careful rewriting, long-document help and code explanation.","5500","7000","21","/assets/product-icons/claude-ai.png","Claude Pro brand icon","https://claude.ai","0","Verified","no"
"runway-ml-unlimited-generations","ATP-RUNWAY-ML","Runway ML Pro","Runway Pro","runway-ml-unlimited-generations","AI Video","Pro plan","1 month","1","Private access","WhatsApp activation","2250 credits","AI video; generation; editing; creative workflow","AI video generation access for creator and agency workflows.","Runway ML Pro includes 2,250 credits per month, full private access and warranty on delivery. Official Runway Pro pricing is USD 28/month (~PKR 7,779) — AI Tools Pak lists it at PKR 5,500.","5500","7779","29","/assets/product-icons/runway-ml-unlimited-generations.png","Runway ML Pro brand icon","https://runwayml.com","0","Verified","no"
"leonardo-ai","ATP-LEONARDO-AI","Leonardo AI","Leonardo AI","leonardo-ai","AI Images and Design","Design plan","1 month","1","Private access","WhatsApp activation","AI image generation access","AI images; design; creative assets; prompts","AI image and design subscription for creative visual workflows.","Leonardo AI access for AI image and design workflows, full private access with warranty. Official Apprentice pricing is USD 10/month (~PKR 2,778) — AI Tools Pak lists it at PKR 2,200.","2200","2778","21","/assets/product-icons/leonardo-ai.png","Leonardo AI brand icon","https://leonardo.ai","0","Verified","no"
"grammarly-pro","ATP-GRAMMARLY-PRO","Grammarly Premium","Grammarly Premium","grammarly-pro","Writing and SEO","Premium plan","1 month","1","Private access","WhatsApp activation","Grammar and writing tools","Grammar; rewriting; proofreading; writing clarity","Writing assistant for grammar, rewriting and clarity checks.","Grammarly Premium is useful for students, writers and freelancers who want grammar checking, proofreading, rewriting suggestions and clearer English output.","1000","1200","17","/assets/product-icons/grammarly-pro.png","Grammarly Premium brand icon","https://grammarly.com","0","Verified","no"
"quillbot","ATP-QUILLBOT","QuillBot","QuillBot","quillbot","Writing and SEO","Writing plan","1 month","1","Private access","WhatsApp activation","Paraphrasing and writing tools","Paraphrasing; summarizing; grammar; writing workflow","Paraphrasing and writing support for students and freelancers.","QuillBot helps with paraphrasing, rewriting, summaries and grammar workflows for buyers who need affordable writing support.","479","700","31","/assets/product-icons/quillbot.png","QuillBot brand icon","https://quillbot.com","0","Verified","no"
