domain,url,site_name,country,language,topic,category,domain_authority_if_available,estimated_traffic_if_available,indexability,relevance_score,editorial_quality,spam_risk,backlink_type,target_page,suggested_anchor,contact_method,contact_url,contact_email_if_public,opportunity_score,status,date_discovered,last_checked,notes
findio.pk,https://www.findio.pk/,Findio,Pakistan,English,Pakistani startups and technology,Startup directory,not collected,not collected,verify listing URL,22,20,3,Directory listing,https://aitoolspak.tech/,AI Tools Pak,submission form,https://www.findio.pk/,,84,QUALIFIED,2026-08-19,2026-08-19,Free submission is explicitly described; submit only if the service accurately fits its product rules.
thenextai.com,https://www.thenextai.com/submit-ai-tool/,The Next AI,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,23,18,5,Directory listing,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,AI Subscription Price Index Pakistan,submission form,https://www.thenextai.com/submit-ai-tool/,,80,QUALIFIED,2026-08-19,2026-08-19,Position the listing as a Pakistan-focused pricing resource rather than as an official vendor tool.
aitoolsexplorer.com,https://aitoolsexplorer.com/submit-ai-tool/,AI Tools Explorer,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,20,17,6,Directory listing,https://aitoolspak.tech/,AI Tools Pak,submission form,https://aitoolsexplorer.com/submit-ai-tool/,,76,QUALIFIED,2026-08-19,2026-08-19,Use only after manually reviewing current listing standards.
toollist.ai,https://toollist.ai/v4/submit,ToolList AI,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,20,17,5,Directory listing,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,Pakistan AI pricing resource,submission form,https://toollist.ai/v4/submit,,77,QUALIFIED,2026-08-19,2026-08-19,Do not purchase placement solely for a link.
aiapps.com,https://www.aiapps.com/submit/,AIapps,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,21,18,5,Directory listing,https://aitoolspak.tech/,AI Tools Pak,submission form,https://www.aiapps.com/submit/,,79,QUALIFIED,2026-08-19,2026-08-19,Describe catalog scope and price-index methodology accurately.
saashub.com,https://www.saashub.com/startups/pakistan,SaaSHub,International,English,SaaS and startups,Startup directory,not collected,not collected,verify listing URL,18,18,5,Directory listing,https://aitoolspak.tech/,AI tools in Pakistan,listing workflow,https://www.saashub.com/,,74,DISCOVERED,2026-08-19,2026-08-19,Research current submission rules before contact.
digitalpakistan.io,https://www.digitalpakistan.io/,DigitalPakistan.io,Pakistan,English,Pakistani startup ecosystem,Resource/community,not collected,not collected,verify editorial page,24,20,4,Resource mention,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,AI subscription prices in Pakistan,contact page,https://www.digitalpakistan.io/,,85,QUALIFIED,2026-08-19,2026-08-19,Pitch the dataset for their AI and deep-tech ecosystem resources only.
pakistantechclub.com,https://pakistantechclub.com/,Pakistan Technology Club,Pakistan,English,Technology/startups,Community profile,not collected,not collected,verify profile URL,23,18,4,Company profile,https://aitoolspak.tech/,AI Tools Pak,company profile,https://pakistantechclub.com/,,82,QUALIFIED,2026-08-19,2026-08-19,Use an accurate business profile; do not represent an official vendor partnership.
qcloud.pk,https://qcloud.pk/marketplace/,QCloud Marketplace,Pakistan,English,Cloud/software marketplace,Marketplace listing,not collected,not collected,verify listing URL,20,18,5,Marketplace listing,https://aitoolspak.tech/,AI Tools Pak,submission workflow,https://qcloud.pk/marketplace/,,77,QUALIFIED,2026-08-19,2026-08-19,Only pursue if the marketplace accepts a catalog/service like this one.
bani.pk,https://bani.pk/,Bani,Pakistan,English,Founder community,Startup community,not collected,not collected,verify profile URL,20,17,5,Founder/project profile,https://aitoolspak.tech/,AI Tools Pak,contact/community profile,https://bani.pk/,,75,DISCOVERED,2026-08-19,2026-08-19,Needs manual fit check and real founder profile.
betterstackpk.site,https://betterstackpk.site/,BetterStackPK,Pakistan,English,Startup and AI resources,Resource page,not collected,not collected,verify editorial page,23,18,5,Resource mention,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,Pakistan AI pricing index,site contact,https://betterstackpk.site/,,80,QUALIFIED,2026-08-19,2026-08-19,Pitch as a complementary Pakistan-local pricing resource.
technoo.pk,https://www.technoo.pk/pages/write-for-us-technology,Technoo,Pakistan,English,Technology,Guest contribution,not collected,not collected,verify published article,19,18,6,Guest article,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,AI subscription prices in Pakistan,guest post page,https://www.technoo.pk/pages/write-for-us-technology,,74,QUALIFIED,2026-08-19,2026-08-19,Contribute an original data-led article; no duplicate content.
producthunt.com,https://www.producthunt.com/,Product Hunt,International,English,Technology products,Product launch,not collected,not collected,verify launch page,17,20,6,Product launch,https://aitoolspak.tech/,AI Tools Pak,product launch,https://www.producthunt.com/,,75,DISCOVERED,2026-08-19,2026-08-19,Launch only if the project meets current Product Hunt guidelines.
futurepedia.io,https://www.futurepedia.io/,Futurepedia,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,19,18,6,Directory/editorial,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,AI tools price index,submission/contact,https://www.futurepedia.io/,,73,DISCOVERED,2026-08-19,2026-08-19,High relevance but likely selective; research submission route.
futuretools.io,https://www.futuretools.io/,FutureTools,International,English,AI tools,AI directory/newsletter,not collected,not collected,verify editorial page,19,19,6,Editorial/resource,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,Pakistan AI pricing data,contact,https://www.futuretools.io/,,75,DISCOVERED,2026-08-19,2026-08-19,Pitch original data rather than requesting a generic listing.
opentools.ai,https://opentools.ai/,OpenTools,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,18,19,6,Directory/editorial,https://aitoolspak.tech/,AI Tools Pak,contact,https://opentools.ai/,,74,DISCOVERED,2026-08-19,2026-08-19,Manual eligibility review required.
topai.tools,https://topai.tools/,TopAI.tools,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,18,18,6,Directory listing,https://aitoolspak.tech/,AI Tools Pak,contact,https://topai.tools/,,72,DISCOVERED,2026-08-19,2026-08-19,Do not pay for a link; seek genuine editorial fit.
toolpilot.ai,https://www.toolpilot.ai/,ToolPilot,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,18,18,6,Directory listing,https://aitoolspak.tech/,AI tools in Pakistan,contact,https://www.toolpilot.ai/,,72,DISCOVERED,2026-08-19,2026-08-19,Manual quality and eligibility check required.
aichief.com,https://www.aichief.com/,AIChief,International,English,AI tools for business,AI directory/editorial,not collected,not collected,verify editorial page,20,19,6,Editorial/resource,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,AI subscription price index,contact,https://www.aichief.com/,,75,DISCOVERED,2026-08-19,2026-08-19,Pitch regional pricing data with methodology.
aitooltrek.com,https://aitooltrek.com/,AI Tool Trek,International,English,AI tools,AI directory,not collected,not collected,verify listing URL,18,17,7,Directory listing,https://aitoolspak.tech/,AI Tools Pak,contact,https://aitooltrek.com/,,68,DISCOVERED,2026-08-19,2026-08-19,Proceed only after manual anti-spam review.
allthingsai.com,https://allthingsai.com/,All Things AI,International,English,AI resources,AI directory,not collected,not collected,verify listing URL,18,19,6,Directory/editorial,https://aitoolspak.tech/ai-subscription-price-index-pakistan/,Pakistan AI pricing resource,contact,https://allthingsai.com/,,73,DISCOVERED,2026-08-19,2026-08-19,Selective target; data asset makes the pitch relevant.
