product,score_0_to_10,top_missing_element
"Gemini Pro — 18 Months","10","none"
"ChatGPT Plus","10","none"
"Veo 3 Extension — 30 Days","10","none"
"ElevenLabs Creator — 130K Credits","10","none"
"Lovable Pro — 1 Month","10","none"
"Claude Pro","10","none"
"Runway ML Pro","10","none"
"Leonardo AI","10","none"
"Grammarly Premium","10","none"
"QuillBot","10","none"
"HeyGen AI","10","none"
"SuperGrok","10","none"
"Google AI Ultra Plan","10","none"
"Netflix Premium 4K — 1 Month","10","none"
"CapCut Pro — 1 Month","10","none"
"Claude 20X Max Plan","10","none"
"Veo 3 Ultra – Official Paid Invite","10","none"
"Prime Video","10","none"
"Helium 10 Platinum","10","none"
"Helium 10 Diamond","10","none"
"Runway ML Max","10","none"
"Canva Pro","10","none"
"Leonardo AI Essential — 8,500 Credits","10","none"
"NordVPN — 3 Months","10","none"
"Surfshark VPN — 2 Months","10","none"
"YouTube Premium — 3 Months","10","none"
"Canva Pro Edu — 1 Year Invite","10","none"
"Replit Core — $40 Credits","10","none"
"Figma Pro — 2 Years Private","10","none"
"Notion Business — 3 Months","10","none"
"ChatGPT Plus — Apple Paid Account","10","none"
"Adobe Creative — 2 Months","10","none"
"Windows 11 Pro — Official License Key","10","none"
"LinkedIn Premium — 2 Months","10","none"
"Replit Core — 1 Year","10","none"
"n8n Starter — 1 Year","10","none"
"Manus AI Pro — 1 Year","10","none"
"Adobe Creative — 1 Year","10","none"
"Gamma Pro — 1 Year","10","none"
"Ideogram AI Plus","10","none"
"Success.ai Starter Leads","10","none"
"vidIQ","10","none"
"PlayHT","10","none"
"WordAI","10","none"
"Jasper AI","10","none"
"Hailuo AI","10","none"
"Dzine Master","10","none"
"Storyblocks Unlimited","10","none"
"Coursera Premium","10","none"
"SEMrush Pro","10","none"
